FirstName,Initials,Lastname,Username,Email,Department,Password,JobTitle,Company,OU,ExpirationDate
Christian,CB,Barteaux,bartec1,barteaux.christian@softdev.ch,_IT,NBZxESv@6M3h,Web developer,SoftDev,"OU=_IT,DC=ad,DC=private",31.12.2022
Lowell,LP,Patenaude,patenl1,patenaude.lowell@softdev.ch,_IT,s$W(DTB3%c&m,Computer systems manager,SoftDev,"OU=_IT,DC=ad,DC=private",31.12.2022
Ormazd,OD,Davignon,davigo1,davignon.ormazd@sofdev.ch,_IT,Cm}pU$>dE!g4,Network administrator ,SoftDev,"OU=_IT,DC=ad,DC=private",31.12.2022
Quennel,QB,Bisaillon,bisaiq1,bisaillon.quennel@softdev.ch,_IT,Z4sWv)nRza%{,Security systems administrator,SoftDev,"OU=_IT,DC=ad,DC=private",31.12.2022
Cosette,CB,Brian,brianc1,brian.cosette@softdev.ch,_Marketing,f^AUX+erJgR2,Content marketing specialist,SoftDev,"OU=_Marketing,DC=ad,DC=private",31.12.2022
Martin,MM,Marceau,marcem2,marceau.martin@softdev.ch,_Marketing,=(*dSZQ_gXh5,Communication manager,SoftDev,"OU=_Marketing,DC=ad,DC=private",31.12.2022
Arnou,AR,Renaud,renaua1,renaud.arnou@softdev.ch,_Marketing,R*N=a-JF7pVt,Marketing Coordinator,SoftDev,"OU=_Marketing,DC=ad,DC=private",31.12.2022
Solaine,SF,Faubert,faube1,faubert.solaine@softdev.ch,_Marketing,XAmLHvdp+[5D,Brand Manager,SoftDev,"OU=_Marketing,DC=ad,DC=private",31.12.2022
Bernard,BB,Brousseau,brousb1,brousseau.bernard@softdev.ch,_Marketing,f4bSJ/sNh[p(,Director of Marketing,SoftDev,"OU=_Marketing,DC=ad,DC=private",31.12.2022
Germain,GB,Bourgeau,bourgg1,bourgeau.germain@softdev.ch,_RH,w-Nv73/+cJTk,Recruiter,SoftDev,"OU=_RH,DC=ad,DC=private",31.12.2022
Dominique,DD,Dumoulin,dumoud1,dumoulin.dominique@softdev.ch,_RH,vdJ8[g9u>D@Z,HR coordinator ,SoftDev,"OU=_RH,DC=ad,DC=private",31.12.2022
Montague,MC,Cousteau,coustm1,cousteau.montague@softdev.ch,_RH,r&h7d]L%ckKA,Compensation and benefits manager ,SoftDev,"OU=_RH,DC=ad,DC=private",31.12.2022
Benjamin,BG,Grignon,grignb1,grignon.benjamin@softdev.ch,_RH,)8_*YeGs(M?d,Chief diversity officer,SoftDev,"OU=_RH,DC=ad,DC=private",31.12.2022
Amaury,AB,Boncoeur ,boncoa1,boncoeur.amaury@softdev.ch,_RH,s$TbpQtu7>nk,HR director,SoftDev,"OU=_RH,DC=ad,DC=private",31.12.2022
